asset_age_days,assignment_count,repair_count,maintenance_count,damage_report_count,days_since_maintenance,warranty_active,condition_score,status_score,health_status
592,10,3,4,1,63,0,2,3,MAINTENANCE_REQUIRED
282,6,0,2,0,282,1,4,2,HEALTHY
571,11,1,0,0,571,1,2,3,MAINTENANCE_REQUIRED
623,6,1,5,0,50,0,3,3,HEALTHY
1508,34,2,7,0,39,0,2,3,MAINTENANCE_REQUIRED
516,3,0,2,1,110,0,3,3,HEALTHY
35,0,0,0,0,35,1,4,3,HEALTHY
79,0,0,0,0,79,1,4,3,HEALTHY
818,19,3,4,0,96,0,2,3,MAINTENANCE_REQUIRED
245,2,1,2,0,59,1,4,3,HEALTHY
171,0,0,0,0,171,1,4,3,HEALTHY
78,2,0,0,0,78,1,4,3,HEALTHY
699,6,0,6,0,28,1,4,3,HEALTHY
102,0,0,0,0,102,0,4,3,HEALTHY
279,5,0,0,0,279,0,3,3,HEALTHY
421,6,0,0,0,421,1,3,3,HEALTHY
343,2,1,0,0,343,1,3,2,HEALTHY
845,16,4,7,1,6,0,1,1,MAINTENANCE_REQUIRED
937,19,5,6,1,47,0,1,1,REPLACE_SOON
325,8,2,3,0,76,1,3,3,HEALTHY
97,0,1,0,0,97,1,4,3,HEALTHY
436,8,1,2,0,78,1,4,3,HEALTHY
115,1,0,0,0,115,1,4,3,HEALTHY
98,1,0,0,0,98,1,4,3,HEALTHY
611,12,5,7,1,253,1,1,1,MAINTENANCE_REQUIRED
1034,18,3,3,0,77,0,2,3,MAINTENANCE_REQUIRED
228,2,0,0,0,228,1,4,3,HEALTHY
286,3,1,1,0,53,1,4,3,HEALTHY
49,0,1,0,0,49,1,4,3,HEALTHY
120,2,1,0,0,120,1,4,3,HEALTHY
271,4,0,0,0,271,1,4,3,HEALTHY
27,2,0,0,0,27,1,4,3,HEALTHY
113,0,0,0,0,113,1,4,3,HEALTHY
655,14,0,4,0,2,0,3,3,HEALTHY
288,4,0,0,0,288,0,3,2,HEALTHY
416,9,0,2,0,180,1,4,3,HEALTHY
109,0,1,0,0,109,1,4,3,HEALTHY
444,4,1,1,0,91,0,3,3,HEALTHY
1244,18,3,4,0,34,0,2,3,MAINTENANCE_REQUIRED
234,5,0,0,0,234,1,4,3,HEALTHY
357,3,0,3,0,160,1,4,3,HEALTHY
608,11,2,2,0,20,0,3,3,MAINTENANCE_REQUIRED
673,13,2,6,1,83,1,2,3,MAINTENANCE_REQUIRED
1250,23,10,11,1,129,0,1,1,REPLACE_SOON
402,5,1,1,0,279,1,3,3,HEALTHY
816,11,8,9,0,33,1,1,3,MAINTENANCE_REQUIRED
36,2,0,0,0,36,1,4,3,HEALTHY
1512,17,8,10,1,286,0,1,2,REPLACE_SOON
374,4,1,0,0,374,0,2,2,MAINTENANCE_REQUIRED
1328,17,5,9,0,13,0,1,1,MAINTENANCE_REQUIRED
547,6,1,2,0,65,1,4,3,HEALTHY
463,15,1,2,0,40,1,4,3,HEALTHY
866,14,5,8,0,329,1,1,3,MAINTENANCE_REQUIRED
224,4,1,0,0,224,1,4,3,HEALTHY
499,7,1,4,1,60,0,2,3,MAINTENANCE_REQUIRED
104,1,0,0,0,104,1,4,3,HEALTHY
1521,24,7,9,0,413,0,1,2,REPLACE_SOON
278,2,1,1,0,278,1,3,3,HEALTHY
764,13,0,5,0,56,0,3,3,HEALTHY
126,0,0,0,0,126,1,4,3,HEALTHY
318,4,1,3,0,27,1,4,3,HEALTHY
2173,36,15,16,2,43,0,1,3,REPLACE_SOON
434,6,0,1,0,204,1,4,3,HEALTHY
641,8,1,4,0,131,1,3,3,HEALTHY
1042,13,9,10,0,62,0,1,1,REPLACE_SOON
1028,20,4,6,0,206,0,1,1,MAINTENANCE_REQUIRED
177,2,1,2,0,19,0,3,3,HEALTHY
150,2,1,0,0,150,1,4,3,HEALTHY
464,9,0,1,0,176,0,3,3,HEALTHY
296,3,1,0,0,296,1,3,3,HEALTHY
834,18,1,2,1,13,0,2,3,MAINTENANCE_REQUIRED
315,2,2,3,0,202,1,3,3,HEALTHY
350,1,1,2,1,111,1,3,3,HEALTHY
308,9,1,3,0,105,1,4,3,HEALTHY
2500,49,10,17,2,164,0,1,1,REPLACE_SOON
733,11,0,2,0,50,0,3,3,HEALTHY
312,2,1,3,0,73,1,4,3,HEALTHY
341,7,0,2,0,104,1,4,3,HEALTHY
1323,31,5,7,1,53,0,1,1,REPLACE_SOON
79,1,0,0,0,79,1,4,3,HEALTHY
163,3,1,2,0,25,0,3,3,HEALTHY
134,3,0,0,0,134,1,4,3,HEALTHY
290,3,1,0,0,290,1,3,3,HEALTHY
137,0,0,0,0,137,1,4,3,HEALTHY
262,5,0,3,0,86,1,4,3,HEALTHY
175,0,0,1,0,43,1,4,3,HEALTHY
50,0,0,0,0,50,1,4,3,HEALTHY
541,11,1,3,0,42,1,4,3,HEALTHY
1324,21,9,12,0,44,0,1,1,REPLACE_SOON
60,1,0,0,0,60,1,4,3,HEALTHY
1274,17,8,9,1,371,0,1,2,REPLACE_SOON
527,9,0,1,0,329,1,3,2,HEALTHY
298,3,0,0,0,298,1,4,2,HEALTHY
97,1,0,0,1,97,0,3,3,HEALTHY
79,0,0,0,0,79,1,4,3,HEALTHY
371,8,0,1,0,132,1,4,3,HEALTHY
24,1,0,0,0,24,1,4,3,HEALTHY
21,3,0,0,0,21,1,4,3,HEALTHY
66,0,0,0,0,66,1,4,3,HEALTHY
338,9,1,1,0,101,1,4,3,HEALTHY
521,6,0,2,0,313,1,3,2,HEALTHY
683,9,0,3,0,144,0,3,3,MAINTENANCE_REQUIRED
504,6,3,7,0,41,0,2,3,MAINTENANCE_REQUIRED
1331,20,4,8,3,140,0,1,3,REPLACE_SOON
666,13,0,4,0,170,1,4,3,HEALTHY
135,4,0,0,0,135,1,4,3,HEALTHY
520,3,2,3,0,80,0,2,3,MAINTENANCE_REQUIRED
675,7,1,2,0,136,1,3,3,HEALTHY
95,2,0,0,0,95,0,4,3,HEALTHY
1101,17,1,3,0,88,0,2,3,MAINTENANCE_REQUIRED
48,1,0,0,0,48,1,4,3,HEALTHY
832,17,1,1,1,155,0,2,3,MAINTENANCE_REQUIRED
94,1,0,0,0,94,1,4,3,HEALTHY
680,17,2,4,0,84,1,3,3,HEALTHY
239,0,1,0,0,239,1,3,3,HEALTHY
379,9,1,0,0,379,0,2,2,MAINTENANCE_REQUIRED
740,13,1,4,0,28,0,3,3,HEALTHY
1198,16,4,4,1,76,0,1,3,MAINTENANCE_REQUIRED
1165,16,8,9,0,28,0,1,3,REPLACE_SOON
965,16,4,5,0,18,0,2,3,MAINTENANCE_REQUIRED
280,2,1,2,0,29,1,4,3,HEALTHY
104,2,1,0,0,104,1,4,3,HEALTHY
315,2,0,3,0,172,1,4,3,HEALTHY
254,5,2,2,0,17,1,4,3,HEALTHY
205,3,0,0,0,205,1,4,3,HEALTHY
546,13,0,1,0,127,0,3,3,HEALTHY
991,16,5,8,1,27,1,2,3,MAINTENANCE_REQUIRED
91,1,0,0,0,91,0,4,3,HEALTHY
333,5,1,2,0,102,1,4,3,HEALTHY
607,8,0,1,1,145,1,3,3,HEALTHY
165,2,1,1,0,47,1,4,3,HEALTHY
1896,30,8,10,3,329,0,1,1,REPLACE_SOON
899,19,3,4,0,91,0,2,3,MAINTENANCE_REQUIRED
191,1,2,3,0,8,0,3,3,HEALTHY
32,3,1,0,0,32,1,4,3,HEALTHY
76,4,0,0,0,76,1,4,3,HEALTHY
758,17,1,6,0,105,0,3,3,HEALTHY
1518,29,9,11,1,4,0,1,3,REPLACE_SOON
1794,29,10,12,1,0,0,1,3,REPLACE_SOON
138,0,0,0,0,138,1,4,3,HEALTHY
188,1,0,1,0,188,1,4,3,HEALTHY
355,4,2,4,1,0,1,3,3,HEALTHY
163,2,0,1,0,54,1,4,3,HEALTHY
710,5,2,5,1,206,0,2,3,MAINTENANCE_REQUIRED
1178,19,2,3,0,13,0,2,3,MAINTENANCE_REQUIRED
423,14,1,2,0,116,0,3,3,HEALTHY
296,3,0,2,0,37,1,4,3,HEALTHY
580,7,0,3,0,17,1,4,3,HEALTHY
1166,29,7,10,1,179,0,1,1,REPLACE_SOON
305,2,1,1,0,42,1,4,3,HEALTHY
308,8,0,0,0,308,1,4,3,HEALTHY
144,4,1,0,0,144,1,4,3,HEALTHY
1063,12,6,9,1,394,1,1,2,REPLACE_SOON
276,4,1,2,0,214,1,3,3,HEALTHY
507,6,2,3,0,507,1,2,3,HEALTHY
579,8,1,3,0,52,1,4,3,HEALTHY
229,4,0,0,0,229,1,4,3,HEALTHY
806,5,1,4,0,236,0,2,3,MAINTENANCE_REQUIRED
143,4,1,0,0,143,1,4,3,HEALTHY
313,4,2,4,0,68,1,3,3,HEALTHY
511,2,0,1,0,6,0,3,3,HEALTHY
929,12,3,5,1,240,0,1,1,REPLACE_SOON
61,1,0,0,0,61,1,4,3,HEALTHY
17,3,1,0,0,17,1,4,3,HEALTHY
776,20,0,4,0,53,0,3,3,HEALTHY
878,10,4,6,1,103,1,2,3,MAINTENANCE_REQUIRED
126,1,0,0,0,126,1,4,3,HEALTHY
377,3,0,0,0,377,0,3,3,HEALTHY
393,3,1,3,1,1,1,3,3,HEALTHY
750,7,1,1,0,42,1,4,3,HEALTHY
1843,35,9,11,0,25,0,1,3,REPLACE_SOON
156,2,1,6,0,21,1,4,3,HEALTHY
775,8,2,6,1,6,0,2,3,MAINTENANCE_REQUIRED
94,1,0,0,0,94,1,4,3,HEALTHY
362,5,0,0,0,362,1,3,2,HEALTHY
132,5,0,0,0,132,1,4,3,HEALTHY
165,1,1,2,0,165,0,3,3,HEALTHY
1626,21,8,12,1,83,0,1,3,REPLACE_SOON
21,0,1,0,0,21,1,4,3,HEALTHY
518,5,0,2,0,251,0,3,2,HEALTHY
264,7,0,1,0,10,1,4,3,HEALTHY
367,1,2,2,0,57,0,3,3,HEALTHY
726,10,2,6,0,40,0,2,3,MAINTENANCE_REQUIRED
980,9,5,9,0,33,0,1,3,MAINTENANCE_REQUIRED
83,0,0,0,0,83,1,4,3,HEALTHY
43,0,0,0,0,43,1,4,3,HEALTHY
692,10,2,4,2,49,1,2,3,HEALTHY
461,7,1,2,0,10,1,4,3,HEALTHY
245,9,0,0,0,245,1,4,3,HEALTHY
1935,35,10,12,3,182,0,1,3,REPLACE_SOON
148,3,0,0,0,148,1,4,3,HEALTHY
1007,20,3,4,1,159,0,1,1,MAINTENANCE_REQUIRED
439,3,0,2,0,40,1,4,3,HEALTHY
674,5,1,4,1,111,1,3,3,HEALTHY
285,2,1,2,0,285,1,3,3,HEALTHY
75,2,0,0,0,75,1,4,3,HEALTHY
344,5,1,2,0,104,1,4,3,HEALTHY
170,3,0,1,0,170,1,4,3,HEALTHY
128,3,0,0,0,128,1,4,3,HEALTHY
314,5,0,0,0,314,0,3,3,HEALTHY
299,2,0,1,0,125,1,4,3,HEALTHY
62,2,0,0,0,62,1,4,3,HEALTHY
47,2,0,0,0,47,1,4,3,HEALTHY
926,15,5,7,0,45,1,2,3,MAINTENANCE_REQUIRED
789,14,2,5,0,58,0,2,3,MAINTENANCE_REQUIRED
26,1,0,0,0,26,0,4,3,HEALTHY
278,2,0,0,0,278,1,4,3,HEALTHY
1082,20,3,6,1,245,1,2,3,MAINTENANCE_REQUIRED
233,3,0,1,0,112,1,4,3,HEALTHY
924,18,5,5,0,0,1,2,3,MAINTENANCE_REQUIRED
376,1,0,2,0,25,0,4,3,HEALTHY
381,3,1,2,0,56,1,4,3,HEALTHY
620,10,1,5,0,117,0,3,3,HEALTHY
130,2,0,0,0,130,1,4,3,HEALTHY
510,7,2,3,1,7,1,3,3,HEALTHY
260,2,0,1,1,104,1,4,3,HEALTHY
829,11,2,3,0,106,0,2,3,MAINTENANCE_REQUIRED
631,7,1,1,0,79,0,3,3,MAINTENANCE_REQUIRED
711,11,2,4,0,238,1,3,3,HEALTHY
725,13,0,3,0,27,1,4,3,HEALTHY
1207,15,9,11,1,90,0,1,3,REPLACE_SOON
168,3,0,0,0,168,1,4,3,HEALTHY
165,2,0,0,0,165,1,4,3,HEALTHY
1155,17,1,6,0,137,0,2,3,MAINTENANCE_REQUIRED
2500,25,8,11,2,106,0,1,3,REPLACE_SOON
146,3,1,0,0,146,1,4,3,HEALTHY
1014,19,2,8,1,163,0,2,3,MAINTENANCE_REQUIRED
642,12,2,5,0,16,1,3,3,HEALTHY
113,1,1,0,0,113,1,4,3,HEALTHY
24,2,1,0,0,24,1,4,3,HEALTHY
271,5,0,0,0,271,1,4,3,HEALTHY
59,3,1,0,0,59,1,4,3,HEALTHY
183,1,2,3,0,40,1,4,3,HEALTHY
49,3,0,0,0,49,1,4,3,HEALTHY
331,2,2,4,0,35,0,3,3,HEALTHY
147,1,0,0,0,147,1,4,3,HEALTHY
94,1,0,0,0,94,1,4,3,HEALTHY
195,3,0,0,0,195,1,4,3,HEALTHY
322,4,1,4,0,322,1,3,3,HEALTHY
1116,14,8,10,1,83,0,1,1,REPLACE_SOON
532,7,2,2,1,15,0,2,3,MAINTENANCE_REQUIRED
249,2,1,2,0,24,1,4,3,HEALTHY
167,4,0,1,0,167,1,4,3,HEALTHY
35,0,0,0,0,35,1,4,3,HEALTHY
729,12,1,6,0,71,0,3,3,HEALTHY
492,4,1,3,0,5,1,4,3,HEALTHY
483,8,0,3,0,74,0,3,3,HEALTHY
761,10,2,11,1,125,0,2,3,MAINTENANCE_REQUIRED
2323,35,11,14,3,263,0,1,2,REPLACE_SOON
46,0,0,0,0,46,1,4,3,HEALTHY
363,9,0,2,0,225,1,4,3,HEALTHY
1214,23,6,7,1,90,0,1,3,REPLACE_SOON
76,1,1,0,0,76,1,4,3,HEALTHY
1355,23,4,6,0,12,0,1,3,MAINTENANCE_REQUIRED
686,13,0,1,0,278,0,3,2,HEALTHY
868,13,1,1,0,25,1,3,3,HEALTHY
445,8,1,3,0,173,0,3,3,MAINTENANCE_REQUIRED
257,5,0,0,0,257,1,4,2,HEALTHY
1787,33,7,10,2,43,0,1,3,REPLACE_SOON
414,6,1,3,0,17,1,4,3,HEALTHY
1072,13,9,15,2,47,0,1,1,REPLACE_SOON
1247,25,5,5,2,130,0,1,1,REPLACE_SOON
833,12,2,3,0,12,1,3,3,HEALTHY
1409,25,6,8,0,1,0,1,3,REPLACE_SOON
103,0,1,0,1,103,1,3,3,HEALTHY
146,2,0,0,0,146,1,4,3,HEALTHY
452,7,0,4,0,178,0,3,3,HEALTHY
834,10,4,5,1,67,0,1,1,MAINTENANCE_REQUIRED
265,4,0,0,0,265,1,4,2,HEALTHY
277,1,0,1,0,30,1,4,3,HEALTHY
279,6,0,0,0,279,1,4,2,HEALTHY
57,0,1,0,0,57,1,4,3,HEALTHY
446,8,2,5,0,220,0,2,3,MAINTENANCE_REQUIRED
2426,34,11,13,2,187,0,1,1,REPLACE_SOON
465,8,0,2,0,189,1,4,3,HEALTHY
38,0,0,0,0,38,1,4,3,HEALTHY
21,0,0,0,0,21,0,4,3,HEALTHY
292,4,1,2,0,9,1,4,3,HEALTHY
1261,15,7,9,0,108,0,1,3,REPLACE_SOON
517,6,0,3,0,130,1,4,3,HEALTHY
15,0,0,0,0,15,1,4,3,HEALTHY
403,7,0,1,0,19,1,4,3,HEALTHY
394,9,0,1,0,120,1,4,3,HEALTHY
715,11,0,2,0,95,1,4,3,HEALTHY
82,0,0,0,0,82,1,4,3,HEALTHY
404,3,0,2,0,116,0,3,3,HEALTHY
490,11,1,1,0,40,1,4,3,HEALTHY
577,9,1,2,1,43,0,2,3,MAINTENANCE_REQUIRED
1088,16,5,8,1,41,0,1,1,MAINTENANCE_REQUIRED
82,0,1,0,0,82,1,4,3,HEALTHY
467,8,0,1,0,8,1,4,3,HEALTHY
1418,24,6,10,0,51,0,1,1,REPLACE_SOON
1388,23,4,6,1,5,0,1,1,REPLACE_SOON
472,6,1,6,1,92,1,3,3,HEALTHY
438,6,0,1,0,48,0,3,3,HEALTHY
41,1,0,0,0,41,1,4,3,HEALTHY
47,1,1,0,0,47,1,4,3,HEALTHY
1621,19,5,7,0,291,0,1,1,REPLACE_SOON
55,0,0,0,0,55,1,4,3,HEALTHY
156,3,0,1,0,110,0,3,3,HEALTHY
351,2,1,0,0,351,1,3,3,MAINTENANCE_REQUIRED
667,10,1,1,0,79,0,3,3,MAINTENANCE_REQUIRED
52,0,1,0,1,52,0,3,3,HEALTHY
1051,13,7,11,0,53,1,1,3,MAINTENANCE_REQUIRED
381,4,2,5,0,54,1,3,3,HEALTHY
236,2,0,1,0,2,1,4,3,HEALTHY
429,9,1,2,0,132,0,3,3,HEALTHY
27,1,0,0,0,27,0,4,3,HEALTHY
276,2,2,3,0,138,0,3,3,MAINTENANCE_REQUIRED
1236,15,6,7,0,72,0,1,1,MAINTENANCE_REQUIRED
270,0,2,2,0,16,1,4,3,HEALTHY
1101,19,7,9,0,195,0,1,1,REPLACE_SOON
151,2,1,0,0,151,1,4,3,HEALTHY
1378,26,7,11,0,51,0,1,1,REPLACE_SOON
779,11,2,6,0,28,0,2,3,MAINTENANCE_REQUIRED
205,5,1,3,0,71,1,4,3,HEALTHY
825,11,5,9,0,5,1,2,3,MAINTENANCE_REQUIRED
646,14,1,3,0,92,1,3,3,HEALTHY
899,16,2,6,0,99,0,2,3,MAINTENANCE_REQUIRED
172,3,0,0,0,172,1,4,3,HEALTHY
235,5,0,1,0,90,1,4,3,HEALTHY
283,5,1,0,0,283,1,3,3,HEALTHY
2500,52,6,8,1,246,0,1,1,REPLACE_SOON
943,11,3,4,0,46,0,2,3,MAINTENANCE_REQUIRED
73,1,0,0,0,73,1,4,3,HEALTHY
34,1,0,0,0,34,1,4,3,HEALTHY
1020,21,10,10,1,170,0,1,1,REPLACE_SOON
220,0,0,0,0,220,1,4,3,HEALTHY
285,4,0,1,0,38,1,4,3,HEALTHY
104,0,0,0,0,104,1,4,3,HEALTHY
408,5,1,6,0,47,0,3,3,HEALTHY
264,3,1,2,0,79,1,4,3,HEALTHY
281,4,0,0,1,281,1,3,3,HEALTHY
735,15,2,2,2,165,0,1,1,MAINTENANCE_REQUIRED
203,2,0,1,0,27,1,4,3,HEALTHY
193,4,0,2,0,41,1,4,3,HEALTHY
43,0,0,0,0,43,1,4,3,HEALTHY
94,0,1,0,0,94,1,4,3,HEALTHY
198,2,1,2,0,21,1,4,3,HEALTHY
105,0,0,0,0,105,1,4,3,HEALTHY
684,16,1,5,1,67,0,2,3,MAINTENANCE_REQUIRED
231,5,1,0,1,231,1,3,3,HEALTHY
947,17,4,7,0,24,0,2,3,MAINTENANCE_REQUIRED
1724,41,8,11,1,59,0,1,3,REPLACE_SOON
15,1,0,0,0,15,0,4,3,HEALTHY
414,8,0,1,0,90,0,3,3,HEALTHY
978,21,6,7,0,4,0,1,3,MAINTENANCE_REQUIRED
209,7,1,0,0,209,1,4,3,HEALTHY
430,11,1,2,0,163,1,3,3,HEALTHY
117,1,0,0,0,117,1,4,3,HEALTHY
1365,22,3,5,1,8,0,1,1,MAINTENANCE_REQUIRED
1811,32,11,12,0,181,0,1,1,REPLACE_SOON
366,3,1,0,0,366,1,3,2,HEALTHY
38,1,0,0,0,38,1,4,3,HEALTHY
438,5,1,4,0,65,0,3,3,HEALTHY
723,5,2,6,0,1,0,2,3,MAINTENANCE_REQUIRED
477,11,1,3,0,20,0,3,3,HEALTHY
721,9,0,1,0,417,1,3,3,HEALTHY
128,2,0,0,0,128,1,4,3,HEALTHY
863,8,4,8,0,40,0,2,3,MAINTENANCE_REQUIRED
1340,13,9,12,1,93,0,1,1,REPLACE_SOON
309,2,0,1,0,5,1,4,3,HEALTHY
97,1,1,0,0,97,1,4,3,HEALTHY
366,6,1,5,0,340,0,2,2,MAINTENANCE_REQUIRED
1008,15,4,6,1,21,0,1,1,MAINTENANCE_REQUIRED
84,2,0,0,0,84,1,4,3,HEALTHY
2231,36,6,8,0,4,0,1,1,REPLACE_SOON
26,0,0,0,0,26,1,4,3,HEALTHY
780,12,2,9,1,86,0,2,3,MAINTENANCE_REQUIRED
181,2,0,1,0,71,1,4,3,HEALTHY
60,2,0,0,0,60,1,4,3,HEALTHY
18,1,0,0,0,18,1,4,3,HEALTHY
163,4,0,1,1,68,0,3,3,HEALTHY
477,9,2,5,0,25,0,3,3,HEALTHY
19,1,1,0,0,19,1,4,3,HEALTHY
1010,17,5,6,2,42,0,1,3,MAINTENANCE_REQUIRED
388,3,1,2,0,21,1,4,3,HEALTHY
200,4,0,2,0,6,1,4,3,HEALTHY
133,0,1,0,0,133,1,4,3,HEALTHY
137,1,0,0,0,137,0,3,3,HEALTHY
82,0,0,0,0,82,1,4,3,HEALTHY
623,9,1,4,0,70,0,3,3,HEALTHY
946,17,2,2,0,118,0,2,3,MAINTENANCE_REQUIRED
741,16,3,8,0,32,0,2,3,MAINTENANCE_REQUIRED
447,6,0,1,0,62,1,4,3,HEALTHY
86,2,1,0,0,86,1,4,3,HEALTHY
531,6,1,3,0,17,1,4,3,HEALTHY
70,2,0,0,0,70,1,4,3,HEALTHY
506,3,2,4,0,133,0,2,3,MAINTENANCE_REQUIRED
175,2,1,0,0,175,1,4,3,HEALTHY
920,28,6,8,2,5,1,1,3,MAINTENANCE_REQUIRED
293,4,0,1,0,114,1,4,3,HEALTHY
171,0,0,1,0,171,0,3,3,HEALTHY
313,4,0,3,0,242,1,4,3,HEALTHY
39,1,0,0,0,39,1,4,3,HEALTHY
721,8,0,1,0,1,1,4,3,HEALTHY
871,12,1,2,0,135,0,2,3,MAINTENANCE_REQUIRED
577,8,3,6,1,102,0,2,3,MAINTENANCE_REQUIRED
31,0,1,0,0,31,1,4,3,HEALTHY
149,2,1,0,0,149,1,4,3,HEALTHY
100,2,0,0,0,100,1,4,3,HEALTHY
2085,30,7,14,2,106,0,1,1,REPLACE_SOON
1471,21,5,6,1,10,0,1,1,REPLACE_SOON
106,1,0,0,0,106,1,4,3,HEALTHY
510,12,1,4,0,57,0,3,3,HEALTHY
200,5,0,0,0,200,1,4,3,HEALTHY
163,0,0,1,0,26,1,4,3,HEALTHY
543,7,4,6,1,35,1,2,3,MAINTENANCE_REQUIRED
861,8,7,7,0,86,0,1,1,MAINTENANCE_REQUIRED
1335,27,1,7,0,169,0,2,3,MAINTENANCE_REQUIRED
467,5,1,0,0,467,1,3,2,HEALTHY
133,2,1,0,0,133,1,4,3,HEALTHY
733,13,0,1,0,58,0,3,3,HEALTHY
673,14,1,4,1,59,0,2,3,MAINTENANCE_REQUIRED
507,12,1,6,0,97,0,3,3,HEALTHY
311,5,1,1,0,33,1,4,3,HEALTHY
1703,30,8,13,2,40,0,1,3,REPLACE_SOON
157,3,0,0,0,157,1,4,3,HEALTHY
18,1,0,0,0,18,1,4,3,HEALTHY
493,12,4,6,0,16,0,2,3,MAINTENANCE_REQUIRED
533,3,1,4,0,69,0,3,3,HEALTHY
52,2,0,0,0,52,1,4,3,HEALTHY
489,11,0,2,0,193,0,3,3,HEALTHY
67,0,1,0,0,67,1,4,3,HEALTHY
502,9,1,2,0,70,0,3,3,HEALTHY
857,14,5,8,0,157,1,2,3,MAINTENANCE_REQUIRED
71,1,0,0,0,71,1,4,3,HEALTHY
198,3,0,2,0,61,1,4,3,HEALTHY
632,9,2,4,0,207,0,2,3,MAINTENANCE_REQUIRED
232,2,0,0,0,232,1,4,3,HEALTHY
1298,18,0,6,1,71,0,2,3,MAINTENANCE_REQUIRED
193,3,0,0,0,193,1,4,3,HEALTHY
522,8,0,3,0,3,1,4,3,HEALTHY
695,7,0,2,0,67,1,4,3,HEALTHY
43,0,0,0,0,43,1,4,3,HEALTHY
920,15,4,4,1,162,0,1,1,MAINTENANCE_REQUIRED
87,2,1,0,0,87,1,4,3,HEALTHY
99,1,0,0,0,99,1,4,3,HEALTHY
540,6,1,4,0,16,0,3,3,HEALTHY
815,9,3,4,0,242,0,2,3,MAINTENANCE_REQUIRED
252,6,0,2,0,127,1,4,3,HEALTHY
60,0,0,0,0,60,1,4,3,HEALTHY
498,9,1,4,0,105,1,4,3,HEALTHY
162,3,1,2,0,56,1,4,3,HEALTHY
92,1,1,0,0,92,1,4,3,HEALTHY
230,4,0,1,0,45,1,4,3,HEALTHY
239,3,0,2,0,71,1,4,3,HEALTHY
409,5,1,0,0,409,0,2,2,MAINTENANCE_REQUIRED
697,7,0,5,0,391,0,2,2,MAINTENANCE_REQUIRED
468,2,2,7,0,63,1,3,3,HEALTHY
235,6,1,0,0,235,0,3,3,HEALTHY
1733,30,8,11,1,83,0,1,1,REPLACE_SOON
708,11,3,6,0,37,1,3,3,HEALTHY
373,4,1,3,1,6,1,3,3,HEALTHY
100,1,0,0,0,100,1,4,3,HEALTHY
1432,23,4,6,0,90,0,1,1,REPLACE_SOON
346,8,0,0,0,346,1,3,3,HEALTHY
594,9,1,4,0,89,1,4,3,HEALTHY
20,2,0,0,0,20,1,4,3,HEALTHY
477,5,0,2,0,1,0,4,3,HEALTHY
978,16,7,7,1,180,0,1,1,REPLACE_SOON
242,3,0,0,0,242,1,4,3,HEALTHY
481,8,1,3,0,45,0,3,3,HEALTHY
42,1,0,0,0,42,1,4,3,HEALTHY
235,4,1,0,0,235,1,3,3,HEALTHY
628,8,2,6,0,21,0,3,3,HEALTHY
194,3,1,0,0,194,1,4,3,HEALTHY
396,4,1,3,0,3,1,4,3,HEALTHY
126,2,0,0,0,126,0,3,3,HEALTHY
404,6,2,3,0,8,1,3,3,HEALTHY
